Name,Formula,S°,absS°,Hf°,Sf°,Gf°,group,CO-(O)(CO),CO-(CD)(O),CO-(C)(O),CO-(H)(O),CO-(O)(CB),O-(H)(CO),O-(C)(CB),CD-(H)(CO),CB-(CO)(CB)2,CB-(O)(CB)2,C-(CO)(C)3,C-(H)2(CO)(C) ,C-(H)3(O),C-(H)3(C),C-(H)3(CB),C-(H)2(C)2,CD-(H)2,CB-(H)(CB)2,CB-(C)(CB)2,C-(H)2(C)(CB),C-(C)4,CH3(qua),CB-(CB)3,CO-(C)(N),N-(H)(CO)2,C-(H)3(N),N-(CO)2(C),CO-(CD)(N),CO-(N)(CB),CB-(NO2)(CB)2,C-(H)2(N)(C),CB-(N)(CB)2,N-(CO)2(CB),rsc,radical 1,radical 2,radical 3,radical 4,Correction o,Correction m,Correction p
Octadecanoic acid,C18H36O2,189.355,792.26132,781.2,1866.37968,224.7388984,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nonadecanoic acid,C19H38O2,195.27,817.00968,785.3,1977.94232,195.5764973,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eicosanoic acid,C20H40O2,201.875,844.645,812.4,2086.618,190.2748433,acid,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Succinic acid,C4H6O4,92.518,387.095312,823,437.663688,692.5105714,acid,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glutaric acid,C5H8O4,95.9,401.2456,837,559.8244,670.0883551,acid,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adipic acid,C6H10O4,110.19,461.03496,865,636.34604,675.2734282,acid,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suberic acid,C8H14O4,125.449,524.878616,894.9,845.124384,642.9261649,acid,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebacic acid,C10H18O4,140.668,588.554912,921.9,1054.070088,607.6290033,acid,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodecanedioic acid,C12H22O4,154.031,644.465704,976.9,1270.781296,598.0165566,acid,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Methoxybenzoic acid,C8H8O3,97.396,407.504864,433.8,468.263636,294.1871969,acid,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
3-Methoxybenzoic acid,C8H8O3,97.869,409.483896,446.1,466.284604,307.0772453,acid,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
4-Methoxybenzoic acid,C8H8O3,98.195,410.84788,451.9,464.92062,313.2839171,acid,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
